"","Male","Female"
"Jan",22.1147347391677,20.6813723023698
"Feb",22.1147347391677,19.2550707642753
"Mar",22.5695613831753,18.5748189717908
"Apr",22.5695613831753,18.3830466815835
"May",23.3092659047564,18.2720795400981
"Jun",23.0150132525801,22.4387953937904
"Jul",24.4635105901551,18.8564298579333
"Aug",42.8101140356195,21.7482828543319
"Sep",25.7226618705307,20.4936086782259
"Oct",25.3498696695085,19.4588439447181
"Nov",22.5695613831753,18.4301644093746
"Dec",22.8101300513291,18.5486154379923
