"","Male","Female"
"Jan",21.2017091781344,18.7073904512951
"Feb",22.148230844798,19.1124940259875
"Mar",24.3214035911885,20.9614434624466
"Apr",23.0392772773253,21.4618528490318
"May",22.5614970571307,19.5872765648696
"Jun",23.4784027811556,19.7907574635066
"Jul",24.350339462689,24.6803101931135
"Aug",22.4783375114537,24.2781327027819
"Sep",20.7210163683533,21.8979236142739
"Oct",21.1982503274446,22.7917164148565
"Nov",23.4228054741198,23.266543840166
"Dec",21.9652051855137,23.0266825634633
