"","Male","Female"
"Jan",25.4159598737937,18.6077364660947
"Feb",23.655640287462,21.1583008509114
"Mar",23.5602546411416,20.7693794685167
"Apr",24.0450335432227,23.0248136282828
"May",24.9877286742298,21.4595302456583
"Jun",24.2056760702797,23.0357402517107
"Jul",23.9608357150149,23.3201321066701
"Aug",22.1175716452705,25.2530842331588
"Sep",24.2936250999457,22.540939148452
"Oct",22.1147347391677,20.4916349417976
"Nov",22.7318526489159,20.7330849597577
"Dec",23.7615766878291,20.4916349417976
