"","Male","Female"
"Jan",20.874656155663,19.9427518629994
"Feb",21.5037512950618,24.2781327027819
"Mar",21.4522083825501,22.7917164148565
"Apr",26.9098616491706,21.5320411498481
"May",23.6892921110063,23.266543840166
"Jun",22.4456611642798,21.4768096986148
"Jul",22.912993036072,19.9013265944205
"Aug",23.0261809147347,23.7615766878291
"Sep",23.6708829185038,21.7993759151369
"Oct",22.7161169765726,21.0715868741126
"Nov",21.6853224141353,19.9427518629994
"Dec",21.8979236142739,21.6853224141353
