"","end.station.id","end.station.name","end.station.latitude","end.station.longitude","NumOfTrips"
"97",3275,"Columbus Drive",40.7183551982321,-74.0389144420624,7124
"98",3276,"Marin Light Rail",40.7145840353589,-74.042817056179,10117
"99",3277,"Communipaw & Berry Lane",40.7143583687043,-74.0666109323502,1456
"100",3278,"Monmouth and 6th",40.725685483629,-74.0487903356552,5744
"101",3279,"Dixon Mills",40.7216301426384,-74.0499678254128,5238
"102",3280,"Astor Place",40.719282200707,-74.071261882782,2946
"103",3281,"Leonard Gordon Park",40.7459099663156,-74.0572714805603,2455
"104",3311,"Columbia St & Kane St",40.68763155,-74.0016256,1
"105",3356,"Amsterdam Ave & W 66 St",40.7746671,-73.98470567,1
"106",3400,"E 110 St & Madison Ave",40.7961535,-73.94782145,1
"107",3415,"Prospect Pl & 6 Ave",40.6793307,-73.97519523,1
"108",3426,"JCBS Depot",40.7096508336406,-74.0686011314392,221
"109",3461,"Murray St & Greenwich St",40.7148515052625,-74.0112233161926,2
"110",3467,"W Broadway & Spring Street",40.7249467235942,-74.0016585588455,2
"111",3481,"York St",40.71649,-74.04105,3040
"112",3483,"Montgomery St",40.71942,-74.05099,2419
"113",3539,"W 116 St & Amsterdam Ave",40.8067581,-73.9607082,1
"114",3541,"Amsterdam Ave & W 125 St",40.813358,-73.956461,2
"115",3547,"Broadway & Moylan Pl",40.8143256,-73.9590255,3
"116",3552,"W 113 St & Broadway",40.805973,-73.964928,1
"117",3638,"Washington St",40.7242941,-74.0354826,7379
"118",3639,"Harborside",40.7192517,-74.034234,11640
"119",3640,"Journal Square",40.73367,-74.0625,5300
"120",3677,"Glenwood Ave",40.7275514673001,-74.0710607171059,819
"121",3678,"Fairmount Ave",40.7257261374256,-74.0719592571259,1925
"122",3679,"Bergen Ave",40.722103786686,-74.0714550018311,2105
"123",3681,"Grand St",40.7151776773203,-74.0376833081245,4057
"124",3694,"Jackson Square",40.71113,-74.0789,343
